Dates,Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Time
2018-12-31,,553.8883048693333,4.180912716107232,561.4504340894016,117.16508594858968,
2018-12-30,,0.02906947831312813,2.6219012120531655,97.75155905988836,100.6760034958521,
2018-12-29,,218.1616395889883,6.190811783075331,831.041415884267,223.9924256470467,
2018-12-28,,140.8134073681301,3.711641574071512,179.88579295186136,135.4765702353582,
2018-12-27,,0.0,3.461215931508275,100.50595244834649,174.82905826262297,
2018-12-26,,46.31294630633451,5.73036495182249,820.3402312252385,68.51594752735555,
2018-12-25,,1005.1989740265731,9.556267844306086,2449.810036823461,53.79099114073644,
2018-12-24,,3089.2981338500967,15.58410882287554,3153.2480361958387,206.83624956342896,
2018-12-23,,2331.478018230862,9.830123722553228,2349.1456160354924,243.73345745934364,
2018-12-22,,3213.9137301974824,11.526757654216526,3288.919802248293,209.63972324795174,
2018-12-21,,758.8095028532866,5.820111028022236,817.9882054990865,210.62698205312077,
2018-12-20,,0.0,4.689957010249296,380.7616973679506,126.16719275050683,
2018-12-19,,1294.8098357750307,9.873820030026947,2341.3797223360766,64.71348329385114,
2018-12-18,,1713.390666677305,8.252777049524903,1708.2248135208802,47.016071518262216,
2018-12-17,,8.177609013087704,1.9788940408781377,14.778259422978621,150.7217716672526,
2018-12-16,,623.8222516717174,5.269568493382795,718.5324516454316,134.69303707944,
2018-12-15,,2418.399922688802,10.988332473569427,2506.399739990158,182.68544875250905,
2018-12-14,,1532.8262140485967,8.246608528825966,1713.9559156214293,197.68624623616523,
2018-12-13,,1984.7030029296866,9.23146893746322,2117.2394989857517,186.64583942625242,
2018-12-12,,297.1023206480571,5.917761840754085,673.9747706445747,201.35236858949057,
2018-12-10,,2403.453175438774,9.849351406097393,2601.7969331461827,54.092186689376824,
2018-12-09,,914.7202767192495,5.996218720244028,1013.1884725544094,45.443980932235704,
2018-12-08,,2927.640099419487,11.365969310204164,3148.238259372274,50.842911058002045,
2018-12-07,,1575.5323414272723,8.519528816143668,1868.5343557174929,46.61883188618553,
2018-12-06,,2192.5266732109912,10.292764812707883,2418.8061126207726,57.93884648217094,
2018-12-05,,2394.6363957722974,9.810385068257638,2595.332572025707,40.871762779023896,
2018-12-04,,10.045927266279833,2.0090217511686994,16.91599879877207,142.95499068746955,
2018-12-03,,1814.5868515438494,9.168704440196343,1989.1368746624653,198.02596579657643,
2018-12-02,,1.4780438576514507,1.8037730645802261,6.823961105905337,204.31981958945576,
2018-12-01,,117.06513851943542,3.20461387734313,124.53542147042229,164.9929016286675,
2018-11-30,,2042.4518340428667,11.883966121408648,2712.2584744525448,32.44917890760633,
2018-11-29,,3581.262101915147,15.167111191484642,3593.1942888342764,32.809013247489915,
2018-11-28,,3029.6209454271525,12.083565291431192,3059.6632979124133,118.29854016461293,
2018-11-27,,3467.472666422526,15.366260538498542,3494.3428715543496,192.7987531026203,
2018-11-26,,3601.720531887478,18.008666992187482,3600.0,193.8032298617891,
2018-11-25,,1288.5178139143516,6.2638443791203855,1337.4406585280517,207.49656571282267,
2018-11-24,,894.6338853571143,5.802364723136024,944.3603648446889,102.66931189431078,
2018-11-23,,1956.225258085462,8.722701152165726,1994.9963267996454,43.836939440833184,
2018-11-22,,1712.2866694318745,7.359506071648645,1763.1958202709814,95.18502112229653,
2018-11-21,,778.4964321508168,6.606667495436138,953.6310099737889,195.24407121870232,
2018-11-20,,1500.0169799592757,8.10793888900014,1737.7606651587998,204.59421814812538,
